date,hour,day_of_week,category,product,quantity,unit_price,revenue
2026-04-01,7,2,Drinks,Soda,1,3.0,3.0
2026-04-01,7,2,Food,Sandwich,2,6.5,13.0
2026-04-01,7,2,Drinks,Juice,1,4.5,4.5
2026-04-01,7,2,Drinks,Smoothie,1,5.0,5.0
2026-04-01,8,2,Coffee,Latte,1,3.75,3.75
2026-04-01,8,2,Coffee,Americano,1,2.75,2.75
2026-04-01,8,2,Food,Pastry,1,3.5,3.5
2026-04-01,8,2,Coffee,Americano,1,2.75,2.75
2026-04-01,8,2,Coffee,Latte,1,3.75,3.75
2026-04-01,8,2,Food,Salad,2,7.0,14.0
2026-04-01,8,2,Drinks,Juice,1,4.5,4.5
2026-04-01,8,2,Coffee,Cappuccino,1,3.5,3.5
2026-04-01,8,2,Coffee,Latte,1,3.75,3.75
2026-04-01,8,2,Drinks,Water,2,2.0,4.0
2026-04-01,8,2,Coffee,Americano,1,2.75,2.75
2026-04-01,8,2,Coffee,Cappuccino,1,3.5,3.5
2026-04-01,9,2,Drinks,Soda,1,3.0,3.0
2026-04-01,9,2,Food,Salad,1,7.0,7.0
2026-04-01,9,2,Coffee,Cappuccino,1,3.5,3.5
2026-04-01,9,2,Food,Sandwich,1,6.5,6.5
2026-04-01,9,2,Food,Sandwich,1,6.5,6.5
2026-04-01,9,2,Coffee,Espresso,2,2.5,5.0
2026-04-01,9,2,Food,Cake,1,4.0,4.0
2026-04-01,9,2,Coffee,Latte,1,3.75,3.75
2026-04-01,9,2,Food,Sandwich,1,6.5,6.5
2026-04-01,9,2,Drinks,Juice,1,4.5,4.5
2026-04-01,9,2,Drinks,Soda,1,3.0,3.0
2026-04-01,9,2,Coffee,Latte,1,3.75,3.75
2026-04-01,9,2,Coffee,Latte,1,3.75,3.75
2026-04-01,9,2,Coffee,Latte,1,3.75,3.75
2026-04-01,9,2,Coffee,Cappuccino,1,3.5,3.5
2026-04-01,9,2,Food,Pastry,1,3.5,3.5
2026-04-01,9,2,Food,Sandwich,1,6.5,6.5
2026-04-01,9,2,Coffee,Americano,1,2.75,2.75
2026-04-01,9,2,Coffee,Latte,1,3.75,3.75
2026-04-01,9,2,Food,Cake,2,4.0,8.0
2026-04-01,9,2,Coffee,Espresso,1,2.5,2.5
2026-04-01,9,2,Coffee,Espresso,1,2.5,2.5
2026-04-01,9,2,Coffee,Cappuccino,2,3.5,7.0
2026-04-01,9,2,Food,Salad,1,7.0,7.0
2026-04-01,9,2,Drinks,Soda,1,3.0,3.0
2026-04-01,10,2,Coffee,Latte,2,3.75,7.5
2026-04-01,10,2,Coffee,Espresso,1,2.5,2.5
2026-04-01,10,2,Food,Sandwich,1,6.5,6.5
2026-04-01,10,2,Drinks,Water,1,2.0,2.0
2026-04-01,10,2,Food,Salad,1,7.0,7.0
2026-04-01,10,2,Coffee,Americano,1,2.75,2.75
2026-04-01,10,2,Coffee,Americano,1,2.75,2.75
2026-04-01,10,2,Food,Sandwich,1,6.5,6.5
2026-04-01,10,2,Coffee,Americano,1,2.75,2.75
2026-04-01,10,2,Food,Sandwich,1,6.5,6.5
2026-04-01,10,2,Drinks,Water,1,2.0,2.0
2026-04-01,10,2,Food,Salad,1,7.0,7.0
2026-04-01,10,2,Coffee,Espresso,1,2.5,2.5
2026-04-01,10,2,Coffee,Americano,1,2.75,2.75
2026-04-01,10,2,Food,Pastry,1,3.5,3.5
2026-04-01,10,2,Food,Pastry,1,3.5,3.5
2026-04-01,10,2,Drinks,Smoothie,1,5.0,5.0
2026-04-01,10,2,Food,Pastry,1,3.5,3.5
2026-04-01,10,2,Food,Sandwich,1,6.5,6.5
2026-04-01,10,2,Coffee,Espresso,2,2.5,5.0
2026-04-01,10,2,Coffee,Americano,1,2.75,2.75
2026-04-01,10,2,Food,Pastry,1,3.5,3.5
2026-04-01,10,2,Coffee,Espresso,1,2.5,2.5
2026-04-01,10,2,Coffee,Cappuccino,1,3.5,3.5
2026-04-01,11,2,Coffee,Latte,2,3.75,7.5
2026-04-01,11,2,Coffee,Americano,1,2.75,2.75
2026-04-01,11,2,Drinks,Soda,1,3.0,3.0
2026-04-01,11,2,Coffee,Americano,2,2.75,5.5
2026-04-01,11,2,Food,Cake,1,4.0,4.0
2026-04-01,11,2,Coffee,Latte,1,3.75,3.75
2026-04-01,11,2,Drinks,Soda,2,3.0,6.0
2026-04-01,11,2,Food,Cake,2,4.0,8.0
2026-04-01,11,2,Drinks,Soda,2,3.0,6.0
2026-04-01,11,2,Food,Pastry,1,3.5,3.5
2026-04-01,11,2,Drinks,Smoothie,1,5.0,5.0
2026-04-01,11,2,Coffee,Cappuccino,1,3.5,3.5
2026-04-01,11,2,Coffee,Espresso,1,2.5,2.5
2026-04-01,11,2,Food,Sandwich,1,6.5,6.5
2026-04-01,11,2,Coffee,Americano,1,2.75,2.75
2026-04-01,11,2,Drinks,Smoothie,1,5.0,5.0
2026-04-01,11,2,Food,Pastry,1,3.5,3.5
2026-04-01,11,2,Coffee,Cappuccino,1,3.5,3.5
2026-04-01,11,2,Drinks,Water,2,2.0,4.0
2026-04-01,11,2,Food,Salad,1,7.0,7.0
2026-04-01,11,2,Food,Pastry,1,3.5,3.5
2026-04-01,11,2,Coffee,Espresso,1,2.5,2.5
2026-04-01,11,2,Food,Cake,1,4.0,4.0
2026-04-01,11,2,Coffee,Americano,1,2.75,2.75
2026-04-01,11,2,Coffee,Cappuccino,1,3.5,3.5
2026-04-01,11,2,Coffee,Americano,1,2.75,2.75
2026-04-01,11,2,Food,Pastry,2,3.5,7.0
2026-04-01,11,2,Drinks,Water,1,2.0,2.0
2026-04-01,11,2,Coffee,Espresso,1,2.5,2.5
2026-04-01,11,2,Coffee,Espresso,1,2.5,2.5
2026-04-01,11,2,Drinks,Water,1,2.0,2.0
